time units=S;v(1,2) units=V;v(2,3) units=V;v(3,4) units=V;v(4,5) units=V;v(5,6) units=V;v(6,7) units=V;v(7,8) units=V
2.150000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-6.288038670029492e-06;-2.162722151480997e-05;1.743303047396834e-05;8.238169888613361e-06;4.996095845597635e-06
2.200000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-6.711116010462422e-06;-2.308236322744718e-05;1.863706853691072e-05;8.807151290308463e-06;5.872359843940575e-06
2.250000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-5.857671053101712e-06;-2.014700546135891e-05;1.635948709481949e-05;7.730855182003190e-06;5.710859334894128e-06
2.300000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-4.199329675583421e-06;-1.444326885908477e-05;1.195975086555802e-05;5.651711537077729e-06;4.720836347153559e-06
2.350000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;-2.271198514687035e-06;-7.811611212787583e-06;6.929136995692637e-06;3.274439738818241e-06;3.153789238183756e-06
2.400000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;-4.827932115184137e-07;-1.660529821663155e-06;2.360052949918592e-06;1.115268924504243e-06;1.267973313051653e-06
2.450000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;9.112504746325462e-07;3.134175361274408e-06;-1.122688560886268e-06;-5.305388016383002e-07;-6.650798596965479e-07
2.500000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;1.800437435386946e-06;6.192464977077125e-06;-3.308202224061323e-06;-1.563327270516758e-06;-2.387493893916134e-06
2.550000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;2.187296063380978e-06;7.523035236197963e-06;-4.286257053501133e-06;-2.025517814916678e-06;-3.694200066160917e-06
2.600000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;2.150143142137329e-06;7.395250643924071e-06;-4.322086828217352e-06;-2.042449568212514e-06;-4.464830976624550e-06
2.650000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;1.807846399128556e-06;6.217947533474342e-06;-3.747041579681441e-06;-1.770705624544562e-06;-4.676803164192329e-06
2.700000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;1.290477435192360e-06;4.438497091913762e-06;-2.877527113188016e-06;-1.359807019951568e-06;-4.397098113700290e-06
2.750000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;7.174577265520239e-07;2.467640228360806e-06;-1.965195094233571e-06;-9.286745109945318e-07;-3.757196344824449e-06
2.800000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;1.835719148087117e-07;6.313813692635061e-07;-1.175769638402079e-06;-5.556228474154455e-07;-2.919280851058668e-06
2.850000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;-2.476193435521430e-07;-8.516675350422527e-07;-5.905312712960630e-07;-2.790620336916197e-07;-2.042414855758886e-06
