time units=S;Vdummy#branch units=A
2.344999999999993e-10;0.000000000000000e+00
2.349999999999993e-10;0.000000000000000e+00
2.354999999999993e-10;0.000000000000000e+00
2.359999999999993e-10;0.000000000000000e+00
2.364999999999993e-10;0.000000000000000e+00
2.369999999999993e-10;0.000000000000000e+00
2.374999999999993e-10;0.000000000000000e+00
2.379999999999993e-10;0.000000000000000e+00
2.384999999999993e-10;0.000000000000000e+00
2.389999999999993e-10;0.000000000000000e+00
2.394999999999993e-10;0.000000000000000e+00
2.399999999999993e-10;0.000000000000000e+00
2.404999999999993e-10;0.000000000000000e+00
2.409999999999993e-10;0.000000000000000e+00
2.414999999999993e-10;0.000000000000000e+00
2.419999999999993e-10;0.000000000000000e+00
2.424999999999993e-10;0.000000000000000e+00
2.429999999999993e-10;0.000000000000000e+00
2.434999999999993e-10;0.000000000000000e+00
2.439999999999993e-10;0.000000000000000e+00
2.444999999999993e-10;0.000000000000000e+00
2.449999999999993e-10;0.000000000000000e+00
2.454999999999993e-10;0.000000000000000e+00
2.459999999999993e-10;0.000000000000000e+00
2.464999999999993e-10;0.000000000000000e+00
2.469999999999993e-10;0.000000000000000e+00
2.474999999999993e-10;0.000000000000000e+00
2.479999999999993e-10;0.000000000000000e+00
2.484999999999993e-10;0.000000000000000e+00
2.489999999999993e-10;0.000000000000000e+00
2.494999999999993e-10;0.000000000000000e+00
2.499999999999993e-10;0.000000000000000e+00
2.504999999999993e-10;0.000000000000000e+00
2.509999999999993e-10;0.000000000000000e+00
2.514999999999993e-10;0.000000000000000e+00
2.519999999999993e-10;0.000000000000000e+00
2.524999999999993e-10;0.000000000000000e+00
2.529999999999993e-10;0.000000000000000e+00
2.534999999999993e-10;0.000000000000000e+00
2.539999999999993e-10;0.000000000000000e+00
2.544999999999993e-10;0.000000000000000e+00
2.549999999999993e-10;0.000000000000000e+00
2.554999999999993e-10;0.000000000000000e+00
2.559999999999993e-10;0.000000000000000e+00
2.564999999999993e-10;0.000000000000000e+00
2.569999999999993e-10;0.000000000000000e+00
2.574999999999993e-10;0.000000000000000e+00
2.579999999999993e-10;0.000000000000000e+00
2.584999999999993e-10;0.000000000000000e+00
2.589999999999993e-10;0.000000000000000e+00
2.594999999999993e-10;0.000000000000000e+00
2.599999999999993e-10;0.000000000000000e+00
2.604999999999993e-10;0.000000000000000e+00
2.609999999999993e-10;0.000000000000000e+00
2.614999999999993e-10;0.000000000000000e+00
2.619999999999993e-10;0.000000000000000e+00
2.624999999999992e-10;0.000000000000000e+00
2.629999999999992e-10;0.000000000000000e+00
2.634999999999992e-10;0.000000000000000e+00
2.639999999999992e-10;0.000000000000000e+00
2.644999999999992e-10;0.000000000000000e+00
2.649999999999992e-10;0.000000000000000e+00
