time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
4.349999999999999e-11;-2.189495176025802e-17;9.268207244414031e-01;4.555581881976549e-01;-1.508417198404057e-02;5.014246521965893e-01
4.399999999999999e-11;-2.195543463072193e-17;9.259089917793779e-01;4.556837673147083e-01;-2.238956535659068e-02;5.008499228012140e-01
4.449999999999999e-11;-2.005665855904081e-17;9.247536922101708e-01;4.559866432158206e-01;-2.517161208509958e-02;5.005878409904743e-01
4.499999999999999e-11;-1.748291939037759e-17;9.235473598515538e-01;4.563315117723155e-01;-2.406307078412166e-02;5.005301371637779e-01
4.549999999999999e-11;-1.490918022171437e-17;9.224361463716438e-01;4.566219916349339e-01;-2.006419037747200e-02;5.005677227040327e-01
4.599999999999998e-11;-1.294348693164762e-17;9.215150550530011e-01;4.568043548334760e-01;-1.433160558582502e-02;5.006122918922364e-01
4.649999999999998e-11;-1.287013536534028e-17;9.208307606881884e-01;4.568627593540122e-01;-7.993340358094039e-03;5.006072547380953e-01
4.699999999999998e-11;-1.536794922852748e-17;9.203895834486560e-01;4.568096885782178e-01;-2.008206205997701e-03;5.005288968460853e-01
4.749999999999998e-11;-1.922855798152232e-17;9.201681798836083e-01;4.566747995073300e-01;2.921871650083244e-03;5.003804749854550e-01
4.799999999999998e-11;-2.248626833425805e-17;9.201248355424546e-01;4.564945284892969e-01;6.386797876630265e-03;5.001826386172901e-01
4.849999999999997e-11;-2.566161903359604e-17;9.202097597716463e-01;4.563038746286168e-01;8.257542652654784e-03;4.999633093834495e-01
4.899999999999997e-11;-3.012255244768130e-17;9.203733693101180e-01;4.561309575893872e-01;8.641120792629849e-03;4.997492959243107e-01
4.949999999999997e-11;-3.407195520199558e-17;9.205721022916531e-01;4.559943199786176e-01;7.814722483596451e-03;4.995608412100962e-01
4.999999999999997e-11;-3.425469068297184e-17;9.207754348336686e-01;4.558969623321767e-01;6.192026661449825e-03;4.994042594917781e-01
5.049999999999997e-11;1.101837013230731e-02;9.302509637177787e-01;4.560818619139427e-01;4.025756868911100e-03;4.993294447259981e-01
5.099999999999997e-11;5.105053092053335e-02;9.641723471477750e-01;4.569763062442364e-01;1.829717997902095e-03;4.993851180004774e-01
5.149999999999996e-11;1.458141454092597e-01;1.044727410460483e+00;4.598231206306706e-01;-7.293270898284812e-05;4.997896939851644e-01
5.199999999999996e-11;2.663491486301604e-01;1.149367140896151e+00;4.649404754039144e-01;-1.531076874366272e-03;5.006440602520487e-01
5.249999999999996e-11;3.941387487129495e-01;1.265071539985103e+00;4.726511768551449e-01;-2.483722495926702e-03;5.020751319192535e-01
5.299999999999996e-11;5.135335864807986e-01;1.381971678919756e+00;4.831672239009032e-01;-2.903265031694378e-03;5.042259884780367e-01
5.349999999999996e-11;6.129169742571150e-01;1.493116400828788e+00;4.961808317644447e-01;-2.852332561206076e-03;5.071598468008321e-01
5.399999999999996e-11;6.865267329570401e-01;1.595416280447016e+00;5.110160149770535e-01;-2.441059428940832e-03;5.108599576742037e-01
5.449999999999995e-11;7.333153501381999e-01;1.688468815397498e+00;5.267876015886875e-01;-1.802289323313170e-03;5.152288220854659e-01
5.499999999999995e-11;7.555121806238974e-01;1.773483999294183e+00;5.425933300884108e-01;-1.069275396460893e-03;5.201029750027741e-01
5.549999999999995e-11;7.572930118588945e-01;1.852483283952229e+00;5.576784343454869e-01;-3.582327531508385e-04;5.252790231860016e-01
5.599999999999995e-11;7.437364019595560e-01;1.927795947643844e+00;5.715403634306424e-01;2.430515023584429e-04;5.305455339344187e-01
5.649999999999995e-11;7.200765658980052e-01;2.001801657665680e+00;5.839668609613922e-01;6.803995775088359e-04;5.357147687954209e-01
5.699999999999995e-11;6.911908154920785e-01;2.076849184772838e+00;5.950183010576606e-01;9.329065331701087e-04;5.406487169782255e-01
5.749999999999994e-11;6.612576180147876e-01;2.155291464897028e+00;6.049739291567884e-01;1.008343713146027e-03;5.452754927162224e-01
5.799999999999994e-11;6.335460289852374e-01;2.239596935263349e+00;6.142631093430322e-01;9.358379925847050e-04;5.495945340292329e-01
5.849999999999994e-11;6.103191688319634e-01;2.332516611671250e+00;6.233994797702920e-01;7.573797424092122e-04;5.536715461554403e-01
5.899999999999994e-11;5.928425709681340e-01;2.437302275245577e+00;6.329306094224000e-01;5.195233493772947e-04;5.576261630614523e-01
5.949999999999994e-11;5.814843335475699e-01;2.557982086297680e+00;6.434102410189244e-01;2.663190142992358e-04;5.616164626716295e-01
