time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
2.029999999999995e-10;0.000000000000000e+00;1.000000000000000e-04
2.034999999999995e-10;5.241069247796549e-23;1.000000000000000e-04
2.039999999999995e-10;5.357419927388469e-23;1.000000000000000e-04
2.044999999999994e-10;0.000000000000000e+00;1.000000000000000e-04
2.049999999999994e-10;-5.209337244277759e-23;1.000000000000000e-04
2.054999999999994e-10;-1.058791184067875e-22;1.000000000000000e-04
2.059999999999994e-10;-2.115466901482891e-24;1.000000000000000e-04
2.064999999999994e-10;1.058791184067875e-22;1.000000000000000e-04
2.069999999999994e-10;1.058791184067875e-22;1.000000000000000e-04
2.074999999999994e-10;1.058791184067875e-22;1.000000000000000e-04
