time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
9.699999999999981e-11;1.460372271562191e-04;7.010122130678564e+04;7.467506980932133e+04;4.931268872503354e+05;6.944387448533857e+04
9.749999999999981e-11;1.926174126941919e-04;7.046896445893850e+04;7.504284417192683e+04;4.957025274642444e+05;6.981166965907790e+04
9.799999999999980e-11;2.020845924698963e-04;7.083671026569349e+04;7.541061888935504e+04;4.982781676781533e+05;7.017946369190267e+04
9.849999999999980e-11;1.829252498141867e-04;7.120445852993008e+04;7.577839394334493e+04;5.008538078920603e+05;7.054725666263406e+04
9.899999999999980e-11;1.451093743262639e-04;7.157220907137656e+04;7.614616931274683e+04;5.034294481059646e+05;7.091504865309104e+04
9.949999999999980e-11;9.841217662066478e-05;7.193996171922464e+04;7.651394497613153e+04;5.060050883198639e+05;7.128283973321227e+04
9.999999999999980e-11;5.120015945206384e-05;7.230771632313853e+04;7.688172091702325e+04;5.085807285337587e+05;7.165062996962774e+04
1.004999999999998e-10;9.717150651153247e-06;7.267547273409653e+04;7.724949711200513e+04;5.111563687476509e+05;7.201841942579925e+04
1.009999999999998e-10;-2.216818985180123e-05;7.304323082675347e+04;7.761727354942418e+04;5.137320089615410e+05;7.238620815500357e+04
1.014999999999998e-10;-4.284144450420991e-05;7.341099047072249e+04;7.798505020511227e+04;5.163076491754313e+05;7.275399621546578e+04
1.019999999999998e-10;-5.256146519528807e-05;7.377875156114894e+04;7.835282707142751e+04;5.188832893893244e+05;7.312178364931926e+04
1.024999999999998e-10;-5.293668105023116e-05;7.414651398421939e+04;7.872060412483325e+04;5.214589296032208e+05;7.348957050978807e+04
1.029999999999998e-10;-4.636383069426933e-05;7.451427765143818e+04;7.908838136027336e+04;5.240345698171209e+05;7.385735683037357e+04
